"Station_ID","Sample_Year","Sample_Month","Sample_mo_yr","mu_Chla_mg.L","mu_Chlb_mg.L","mu_Chlc_mg.L","mu_Pheophytin_mg.L","mu_Chla_Pheo_664.665a","mu_EC_uS.cm","mu_wq_pH","mu_TDS_mg.L","mu_Sum_TDS_mg.L","mu_TSS_mg.L","mu_Na_mg.L","mu_K_mg.L","mu_Ca_mg.L","mu_Mg_mg.L","mu_CO3_mg.L","mu_HCO3_mg.L","mu_Alk_mg.L","mu_Cl_mg.L","mu_SO4_mg.L","mu_SiO2_mg.L","mu_F_mg.L","mu_TP_mg.L","mu_Total_Dissolved_P_mg.L","mu_NH3_N_mg.L","mu_NO3_NO2_asN_mg.L","mu_TN_mg.L","mu_As_mg.L","mu_Be_mg.L","mu_Cd_mg.L","mu_Cr_mg.L","mu_Cu_mg.L","mu_Mn_mg.L","mu_Mo_mg.L","mu_Ni_mg.L","mu_Pb_mg.L","mu_Zn_mg.L","mu_Al_mg.L","mu_Fe_mg.L","mu_Se_mg.L","mu_n_DEP","mu_max_DEP_m","mu_Deg_C","mu_mmHg","mu_DO_percent","mu_DO_mg.L","mu_SPC_uS.cm","mu_mp_pH","mu_mp_pH_mV"
"A-BHC",2021,"April","April_2021",0.0069255,0.00035,0.000724900000000001,0.0036846,1.38636363636364,1452,8.66,771.1191483088,774.672089773223,6.97997855701204,228.53893929152,6.7812537537156,47.675540089092,16.101607086448,9.58904640384,162.806026193197,141.43843445664,333.6189061336,41.75230621672,14.992873596004,0.2906679691164,0.04474888321792,0.02706907891084,0.00888984510356,0.3476029321392,0.4974317821992,0.08110735083248,0.0119863080048,0.0159817440064,0.01668094530668,0.02307364290924,0.03236303161296,0.0279680520112,0.08150689443264,0.079908720032,0.1917809280768,0.02856736741144,0.05353884242144,0.37936664835192,4,2.427,19,702.3,117.875,10.8925,1422.75,10.5925,-232.9
"A-BHC",2021,"July","July_2021",0.0112859722222222,0.00035,0.000880416666666667,0.0247345833333333,0.876543209876543,1400,8.155,719.178480288,738.607786134281,2.30688864378096,214.40508443586,6.3971924680618,41.622454546668,14.478461210798,1.39840260056,157.44415107905,129.05258285168,326.6268931308,40.80339016634,16.850751336748,0.2442210255978,0.27603468476054,0.44019716147628,0.01840397708237,0.0039954360016,0.5154112442064,0.08110735083248,0.0119863080048,0.0159817440064,0.01668094530668,0.02017695180808,0.05938216757378,0.0279680520112,0.08150689443264,0.079908720032,0.1917809280768,0.50462356700208,0.03291240406318,0.234731865094,18,17.014,19.8722222222222,709.2,29.9444444444444,2.425,1407.66666666667,8.14555555555556,-67.3
"A-BHC",2022,"April","April_2022",0.000715902173913044,0.00035,0.00035,0.0230722826086956,0.11,1428,8.24,761.1305583048,774.320491405082,2.6959495350602,223.09515773934,6.048091247422,49.133874229676,15.552234636228,10.28824770412,170.60511726832,147.8311320592,332.938183724827,41.7952571537372,17.050523136828,0.3226314571292,0.0359589240144,0.0359589240144,0.0312143437625,0.0079908720032,0.4804511791924,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00569349630228,0.14273695115716,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.7011990182808,0.2776828021112,37,18.126,15.6621621621622,710,86.7,8.4072972972973,1362.58918918919,8.24405405405405,-99.9
"A-BHC",2022,"January","January_2022",0.0126346666666667,0.00162106666666667,0.00162826666666667,0.0021716,1.58490566037736,1410.5,7.775,736.1590832948,758.187919689622,27.2367716775738,215.85342998644,7.046950247822,52.694806566102,15.292531296124,1.39840260056,178.891651535638,146.63250125872,322.6314571292,38.7057862655,17.809655977132,0.219748980088,0.08794953498522,0.02367295830948,0.04604739991844,0.1738014660696,0.6902115692764,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00569349630228,0.23662969719476,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.04160247736666,0.2776828021112,36,22.016,12.3416666666667,716.4,74.4305555555556,7.92416666666667,1373.58333333333,8.11333333333333,-79.7611111111111
"A-BHC",2022,"July","July_2022",0.0117390816326531,0.00035,0.00153438775510204,0.000735612244897961,1.65573770491803,1441,8.3,836.544412835,827.297475638797,3.56668490302156,226.34144949064,30.630011247266,42.9509370172,15.672097716276,4.534819861816,162.806026193197,136.64391125472,371.52560519878,41.2413898380154,16.65597383167,0.2711902186086,0.02087615310836,0.004994295002,0.06377714717554,0.0529395270212,0.5029255067014,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00584332515234,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.02537101861016,0.2776828021112,27,17.906,20.7518518518519,706.8,46.1851851851852,3.68518518518519,1459.77777777778,7.97222222222222,-95.0888888888889
"A-BHC",2022,"October","October_2022",0.0075978,0.0019541,0.000828799999999999,0.0054468,1.30769230769231,1486.5,7.79,787.1008923152,772.49257943435,6.39269760256,224.2438455898,7.136847557858,47.02128744383,15.747012141306,1.39840260056,178.891651535638,146.63250125872,336.1160536346,38.136436635272,16.03168695642,0.2212472685886,0.05473747322192,0.02951628346182,0.1058790540424,0.079908720032,0.2736873661096,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00953910345382,1.4673238715876,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.7011990182808,0.2776828021112,27,20.631,18.5740740740741,711.4,26.2703703703704,2.34740740740741,1452.22222222222,7.72925925925926,-76.9851851851852
"A-BHC",2023,"April","April_2023",0.000379042553191489,0.00035,0.00035,0.000596489361702128,1,1335,8.045,710.6881787846,714.420415439595,5.90821701257006,202.86826298124,6.987018707798,45.12345534307,15.10774238105,1.39840260056,160.856253424416,131.8493880528,311.19452157462,35.7626482208214,17.80466168213,0.159817440064,0.0409532190164,0.0269691930108,0.0137343112555,0.2507136091004,0.5648547647262,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.01178653620472,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.08295523998322,0.2776828021112,28,22.335,11.4821428571429,705.6,102.121428571429,11.0896428571429,1311.67857142857,7.90071428571429,-108.835714285714
"A-BHC",2023,"January","January_2023",0.005594,0.000547473684210526,0.000732947368421052,0.00255757894736842,1.42424242424242,1461,8.075,779.6094498122,786.220398106347,4.57606958150017,220.29835253822,7.171807622872,49.76814969493,16.596042291646,1.39840260056,180.841424304419,148.23067565936,346.1046436386,39.50487346582,17.634855652062,0.2497147501,0.0269691930108,0.0414526485166,0.0327126322631,0.2032678065814,0.4699631596882,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.01418379780568,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.08969753823592,0.2776828021112,24,18.444,11.6833333333333,712.8,83.0958333333333,8.97583333333333,1443.04166666667,8.0475,-103.345833333333
"A-BHC",2023,"July","July_2023",0.0131916483516484,0.00112032967032967,0.00105956043956044,0.0222695604395604,0.990654205607477,1326.5,8.355,723.6733457898,693.797972517336,4.17638871906378,199.17248467976,6.572492222632,35.729186444308,14.378575310758,10.28824770412,134.534321045875,118.26490564736,311.579082289774,38.3097386718414,17.045528841826,0.2786816611116,0.0334617765134,0.0064925835026,0.0019977180008,0.0519406680208,0.5463758732188,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.0077411572531,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.06922092872772,0.2776828021112,25,17.162,21.54,707.9,86,7.064,1403.68,8.2216,-86.74
"A-D",2021,"July","July_2021",0.0257321666666667,0.00035,0.00161716666666667,0.00649699999999999,1.53409090909091,1395,8.355,748.1453912996,739.828391832769,3.32953000133333,217.70131913718,5.4233049426718,42.586353482054,14.688221600882,5.4937245022,149.157616811731,126.25577765056,326.1274636306,40.80339016634,16.750865436708,0.262200487605,0.03141411556258,0.0247217602599,0.03041525656218,0.0039954360016,0.454480845182,0.08110735083248,0.0119863080048,0.0159817440064,0.01668094530668,0.02017695180808,0.19272984412718,0.0279680520112,0.08150689443264,0.079908720032,0.1917809280768,1.7335197951942,0.04529825566814,0.234731865094,32,30.048,18.4,710.1,32.321875,2.7746875,1398.125,8.2653125,-73.640625
"A-D",2022,"April","April_2022",0.018821170212766,0.00035,0.00324117021276596,0.00232914893617022,1.61458333333333,1406.5,8.375,770.1202893084,773.598815777293,2.76767181360835,222.29607053902,5.96818252739,48.409701454386,15.327491361138,7.89098610316,170.60511726832,145.8334140584,335.374650541553,41.9113745125337,16.815791271734,0.2741867956098,0.03241297456298,0.03241297456298,0.187286062575,0.009988590004,0.5224032572092,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00569349630228,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.7011990182808,0.2776828021112,93,28.916,15.5322580645161,709.9,90.8311827956989,8.90870967741935,1411.51720430108,8.3847311827957,-108.081720430108
"A-D",2022,"January","January_2022",0.00130557894736842,0.00035,0.00035,0.00035,1.57142857142857,1392.5,7.805,747.1465322992,755.210820438929,2.43050463205653,217.80120503722,5.703484892284,52.959504201208,15.212622576092,1.39840260056,176.454435574662,144.63478325792,320.1343096282,38.40612856538,17.989450597204,0.204766095082,0.05313929882128,0.03176371621272,0.01228596570492,0.2232449865894,0.551869597721,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00569349630228,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.01628140170652,0.2776828021112,43,28.088,12.9,715.5,62.6744186046512,6.59511627906977,1367,7.92232558139535,-69.7418604651163
"A-D",2022,"July","July_2022",0.0153577551020408,0.00035,0.00163673469387755,0.00201612244897959,1.60975609756098,1435.5,8.29,791.0963283168,781.495795034455,2.62743345757391,224.14395968976,11.771553319714,42.056958211842,15.677092011278,1.39840260056,158.906480655635,130.25121365216,351.74819699086,40.85333311636,17.010568776812,0.2751856546102,0.0157320292563,0.01388414010556,0.05253998342104,0.0834047265334,0.3910532986566,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00669235530268,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.01628140170652,0.2776828021112,33,29.697,19.6,706,39.2484848484848,3.14363636363636,1438.84848484848,7.93969696969697,-93.1272727272727
"A-D",2022,"October","October_2022",0.0067193,0.00035,0.0009103,0.0028569,1.4390243902439,1482.5,7.93,763.6277058058,768.815280024377,1.9977180008,222.19618463898,6.672378122672,45.552964713242,15.58220040624,1.39840260056,173.529776421491,142.23752165696,338.6132011356,38.55595741544,16.196498691486,0.194777505078,0.04624717171852,0.04090327606638,0.10098464494044,0.1033819065414,0.2666953531068,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.01578197220632,1.1292100999522,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.7011990182808,0.2776828021112,39,30.104,19.4948717948718,711.4,51.7564102564103,4.56461538461538,1462.84615384615,8.11307692307692,-97.9307692307692
"A-D",2023,"April","April_2023",0.0055279381443299,0.00035,0.000447319587628866,0.00156896907216495,1.51612903225806,1374,7.895,744.149955298,735.379473844988,1.9977180008,208.86141698364,6.982024412796,46.17225729349,15.35745713115,1.39840260056,165.730685346368,135.8448240544,321.93225582892,37.015217407323,17.295243591926,0.2037672360816,0.0439497960176,0.0269691930108,0.02327341470932,0.2027683770812,0.554366745222,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.01338471060536,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.06177942917474,0.2776828021112,33,29.59,14.1030303030303,706.1,96.9333333333333,9.91181818181818,1366.09090909091,8.1,-119.766666666667
"A-D",2023,"January","January_2023",0.000375343915343915,0.00035,0.00035,0.000593333333333333,1,1402.5,8.01,750.6425388006,755.988931600241,15.6175482042344,211.60827923474,7.596322698042,47.186099178896,15.512280276212,1.39840260056,175.966992382467,144.23523965776,330.6223291324,38.00658496522,18.643703242466,0.244720455098,0.0364583535146,0.0629281170252,0.01103739195442,0.272189077609,0.5673519122272,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00993864705398,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.10872580219354,0.2776828021112,37,29.162,11.8243243243243,712.5,71.4918918918919,7.70459459459459,1343.23513513514,7.82216216216216,-90.7297297297297
"A-D",2023,"July","July_2023",0.0105579,0.000516800000000001,0.0011469,0.0155661,1.04494382022472,1364,8.675,729.167070292,712.879176001977,6.6482798407752,204.06689378172,6.622435172652,37.377303794968,14.937936350982,9.58904640384,143.308298505389,125.45669045024,319.873607429096,37.921681950186,16.80580268173,0.2731879366094,0.0354594945142,0.004994295002,0.0019977180008,0.0079908720032,0.564355335226,0.3066497131228,0.03356166241344,0.07031967362816,0.05433792962176,0.00988870410396,0.1418379780568,0.04055367541624,0.07651259943064,0.289669110116,5.433792962176,1.807934790724,0.05229026867094,0.2776828021112,34,29.339,19.0029411764706,709.2,78.85,6.925,1418.82352941176,8.03588235294118,-75.0735294117647
"A-M",2021,"April","April_2021",0.0070602,0.00035,0.000539,0.0043254,1.34782608695652,1445,8.78,780.1088793124,765.333756978483,3.3645776855579,222.64567118916,6.1090216464464,46.09734286846,15.492303096204,16.301378886528,154.032048733683,139.840260056,334.617765134,41.65242031668,14.763136025912,0.3136417261256,0.03436074961376,0.03226314571292,0.01288528110516,0.0519406680208,0.47445802519,0.08110735083248,0.0119863080048,0.0159817440064,0.01668094530668,0.02387273010956,0.19148127037668,0.0279680520112,0.08150689443264,0.079908720032,0.5778399317314,0.02856736741144,0.11017414774412,0.3750715546502,3,1.742,18.9333333333333,703.1,112.266666666667,10.4,954.533333333333,11.81,-300.966666666667
